run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14394710,RCN18744,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14394710/ERR14394710_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14394710/ERR14394710_2.fastq.gz
ERR14394718,RCN18748,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14394718/ERR14394718_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14394718/ERR14394718_2.fastq.gz
ERR15627426,RCN18728,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/026/ERR15627426/ERR15627426_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/026/ERR15627426/ERR15627426_2.fastq.gz
ERR15627428,RCN18730,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/028/ERR15627428/ERR15627428_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/028/ERR15627428/ERR15627428_2.fastq.gz
ERR15627433,RCN18735,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/033/ERR15627433/ERR15627433_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/033/ERR15627433/ERR15627433_2.fastq.gz
ERR15627441,RCN18744,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/041/ERR15627441/ERR15627441_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/041/ERR15627441/ERR15627441_2.fastq.gz
ERR15627445,RCN18748,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/045/ERR15627445/ERR15627445_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/045/ERR15627445/ERR15627445_2.fastq.gz
ERR14394669,RCN18731,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/069/ERR14394669/ERR14394669_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/069/ERR14394669/ERR14394669_2.fastq.gz
ERR14394680,RCN18734,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/080/ERR14394680/ERR14394680_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/080/ERR14394680/ERR14394680_2.fastq.gz
ERR14394690,RCN18738,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/090/ERR14394690/ERR14394690_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/090/ERR14394690/ERR14394690_2.fastq.gz
ERR14394691,RCN18738,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/091/ERR14394691/ERR14394691_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/091/ERR14394691/ERR14394691_2.fastq.gz
ERR14394708,RCN18744,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14394708/ERR14394708_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14394708/ERR14394708_2.fastq.gz
ERR14394709,RCN18744,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14394709/ERR14394709_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14394709/ERR14394709_2.fastq.gz
ERR14394711,RCN18745,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/011/ERR14394711/ERR14394711_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/011/ERR14394711/ERR14394711_2.fastq.gz
ERR15627429,RCN18731,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/029/ERR15627429/ERR15627429_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/029/ERR15627429/ERR15627429_2.fastq.gz
ERR15627432,RCN18734,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/032/ERR15627432/ERR15627432_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/032/ERR15627432/ERR15627432_2.fastq.gz
ERR15627442,RCN18745,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/042/ERR15627442/ERR15627442_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/042/ERR15627442/ERR15627442_2.fastq.gz
ERR14394673,RCN18732,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/073/ERR14394673/ERR14394673_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/073/ERR14394673/ERR14394673_2.fastq.gz
ERR14394674,RCN18732,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/074/ERR14394674/ERR14394674_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/074/ERR14394674/ERR14394674_2.fastq.gz
ERR14394700,RCN18741,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14394700/ERR14394700_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14394700/ERR14394700_2.fastq.gz
ERR14394701,RCN18741,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14394701/ERR14394701_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14394701/ERR14394701_2.fastq.gz
ERR15627430,RCN18732,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/030/ERR15627430/ERR15627430_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/030/ERR15627430/ERR15627430_2.fastq.gz
ERR15627439,RCN18741,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/039/ERR15627439/ERR15627439_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/039/ERR15627439/ERR15627439_2.fastq.gz
ERR14394687,RCN18737,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/087/ERR14394687/ERR14394687_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/087/ERR14394687/ERR14394687_2.fastq.gz
ERR14394688,RCN18737,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/088/ERR14394688/ERR14394688_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/088/ERR14394688/ERR14394688_2.fastq.gz
ERR14394689,RCN18737,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/089/ERR14394689/ERR14394689_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/089/ERR14394689/ERR14394689_2.fastq.gz
ERR14394747,RCN24795,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/047/ERR14394747/ERR14394747_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/047/ERR14394747/ERR14394747_2.fastq.gz
ERR14394757,RCN24798,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14394757/ERR14394757_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14394757/ERR14394757_2.fastq.gz
ERR14394759,RCN24799,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14394759/ERR14394759_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14394759/ERR14394759_2.fastq.gz
