sample,country,ampseq_process,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,INSDC_Pf8,INSDC_GenRe_GRC1,INSDC_GenRe_GRC2,INSDC_GenRe_SPEC
RCN13374,Laos,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625914,ERR14390199,ERR14390200,ERR14390201
RCN13382,Laos,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625922,ERR14390223,ERR14390224,ERR14390225
RCN13383,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625923,ERR14390226,ERR14390227,ERR14390228
RCN13385,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625925,ERR14390232,ERR14390233,ERR14390234
RCN13386,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Sensitive,Sensitive,Sensitive,ERR15625926,ERR14390235,ERR14390236,ERR14390237
RCN13388,Laos,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625928,ERR14390241,ERR14390242,ERR14390243
RCN13389,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625929,ERR14390244,ERR14390245,ERR14390246
RCN13391,Laos,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625931,ERR14390250,ERR14390251,ERR14390252
RCN13398,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625937,ERR14390268,ERR14390269,ERR14390270
RCN13411,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625949,ERR14390307,ERR14390308,ERR14390309
RCN13414,Laos,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625952,ERR14390316,ERR14390317,ERR14390318
RCN13416,Laos,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625954,ERR14390322,ERR14390323,ERR14390324
RCN13427,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625963,ERR14390352,ERR14390353,ERR14390354
RCN13446,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625981,ERR14390406,ERR14390407,ERR14390408
RCN13452,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625986,ERR14390421,ERR14390422,ERR14390423
