run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14394511,RCN18675,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/011/ERR14394511/ERR14394511_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/011/ERR14394511/ERR14394511_2.fastq.gz
ERR14394555,RCN18691,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/055/ERR14394555/ERR14394555_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/055/ERR14394555/ERR14394555_2.fastq.gz
ERR14394557,RCN18691,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14394557/ERR14394557_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14394557/ERR14394557_2.fastq.gz
ERR14394576,RCN18698,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14394576/ERR14394576_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14394576/ERR14394576_2.fastq.gz
ERR14394577,RCN18698,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/077/ERR14394577/ERR14394577_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/077/ERR14394577/ERR14394577_2.fastq.gz
ERR14394578,RCN18698,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14394578/ERR14394578_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14394578/ERR14394578_2.fastq.gz
ERR14394651,RCN18725,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14394651/ERR14394651_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14394651/ERR14394651_2.fastq.gz
ERR14394652,RCN18725,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14394652/ERR14394652_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14394652/ERR14394652_2.fastq.gz
ERR14394653,RCN18725,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14394653/ERR14394653_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14394653/ERR14394653_2.fastq.gz
ERR14394684,RCN18736,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/084/ERR14394684/ERR14394684_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/084/ERR14394684/ERR14394684_2.fastq.gz
ERR14394686,RCN18736,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/086/ERR14394686/ERR14394686_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/086/ERR14394686/ERR14394686_2.fastq.gz
