file,count
ERR14391418_1.fastq.gz,34106
ERR14391419_1.fastq.gz,879
ERR14391420_1.fastq.gz,31187
ERR14391421_1.fastq.gz,22980
ERR14391422_1.fastq.gz,365
ERR14391426_1.fastq.gz,30916
ERR14391427_1.fastq.gz,29999
ERR14391428_1.fastq.gz,888
ERR14391432_1.fastq.gz,26002
ERR14391433_1.fastq.gz,26710
ERR14391434_1.fastq.gz,737
ERR14391438_1.fastq.gz,32791
ERR14391439_1.fastq.gz,31328
ERR14391440_1.fastq.gz,14
ERR14391441_1.fastq.gz,28414
ERR14391442_1.fastq.gz,25851
ERR14391443_1.fastq.gz,556
ERR14391444_1.fastq.gz,25078
ERR14391445_1.fastq.gz,24216
ERR14391446_1.fastq.gz,442
ERR14391447_1.fastq.gz,30103
ERR14391448_1.fastq.gz,30924
ERR14391449_1.fastq.gz,647
ERR14391450_1.fastq.gz,28009
ERR14391451_1.fastq.gz,29420
ERR14391452_1.fastq.gz,739
ERR14391459_1.fastq.gz,24555
ERR14391460_1.fastq.gz,20030
ERR14391461_1.fastq.gz,3
ERR14391462_1.fastq.gz,29540
ERR14391463_1.fastq.gz,20767
ERR14391464_1.fastq.gz,1018
ERR14391465_1.fastq.gz,34406
ERR14391466_1.fastq.gz,34733
ERR14391467_1.fastq.gz,929
ERR14391474_1.fastq.gz,25461
ERR14391475_1.fastq.gz,17166
ERR14391476_1.fastq.gz,650
ERR14391477_1.fastq.gz,24565
ERR14391478_1.fastq.gz,22202
ERR14391479_1.fastq.gz,792
ERR14391480_1.fastq.gz,30685
ERR14391481_1.fastq.gz,27149
ERR14391482_1.fastq.gz,575
ERR14391483_1.fastq.gz,29686
ERR14391484_1.fastq.gz,27643
ERR14391485_1.fastq.gz,3
ERR14391486_1.fastq.gz,31620
ERR14391487_1.fastq.gz,30460
ERR14391488_1.fastq.gz,1096
ERR14391489_1.fastq.gz,28805
ERR14391490_1.fastq.gz,32067
ERR14391491_1.fastq.gz,696
ERR14391492_1.fastq.gz,28334
ERR14391493_1.fastq.gz,23901
ERR14391494_1.fastq.gz,822
ERR14391495_1.fastq.gz,24455
ERR14391496_1.fastq.gz,21658
ERR14391497_1.fastq.gz,660
ERR14391501_1.fastq.gz,28019
