sample,sample_accession,library_name,experiment_accession,run_accession
RCN14655,SAMEA120052173,RCN14655_WGS,ERX15023574,ERR15626503
RCN14592,SAMEA120052111,RCN14592_WGS,ERX15023512,ERR15626441
RCN14594,SAMEA120052113,RCN14594_WGS,ERX15023513,ERR15626442
RCN14593,SAMEA120052112,RCN14593_WGS,ERX15023515,ERR15626444
RCN14612,SAMEA120052131,RCN14612_WGS,ERX15023532,ERR15626461
RCN14614,SAMEA120052133,RCN14614_WGS,ERX15023534,ERR15626463
RCN14626,SAMEA120052145,RCN14626_WGS,ERX15023546,ERR15626475
RCN14633,SAMEA120052152,RCN14633_WGS,ERX15023553,ERR15626482
RCN14635,SAMEA120052154,RCN14635_WGS,ERX15023555,ERR15626484
RCN14636,SAMEA120052155,RCN14636_WGS,ERX15023556,ERR15626485
RCN14654,SAMEA120052172,RCN14654_WGS,ERX15023573,ERR15626502
RCN14657,SAMEA120052175,RCN14657_WGS,ERX15023576,ERR15626505
RCN14660,SAMEA120052178,RCN14660_WGS,ERX15023579,ERR15626508
RCN14618,SAMEA120052137,RCN14618_WGS,ERX15023538,ERR15626467
RCN14606,SAMEA120052125,RCN14606_WGS,ERX15023526,ERR15626455
RCN14608,SAMEA120052127,RCN14608_WGS,ERX15023528,ERR15626457
RCN14652,SAMEA120052170,RCN14652_WGS,ERX15023571,ERR15626500
RCN14693,SAMEA120052202,RCN14693_WGS,ERX15023603,ERR15626532
RCN14713,SAMEA120052215,RCN14713_WGS,ERX15023616,ERR15626545
RCN14739,SAMEA120052235,RCN14739_WGS,ERX15023636,ERR15626565
RCN14740,SAMEA120052236,RCN14740_WGS,ERX15023637,ERR15626566
RCN14746,SAMEA120052239,RCN14746_WGS,ERX15023640,ERR15626569
RCN14664,SAMEA120052182,RCN14664_WGS,ERX15023583,ERR15626512
RCN14676,SAMEA120052190,RCN14676_WGS,ERX15023591,ERR15626520
RCN14680,SAMEA120052192,RCN14680_WGS,ERX15023593,ERR15626522
RCN14681,SAMEA120052193,RCN14681_WGS,ERX15023594,ERR15626523
RCN14682,SAMEA120052194,RCN14682_WGS,ERX15023595,ERR15626524
RCN14684,SAMEA120052196,RCN14684_WGS,ERX15023597,ERR15626526
RCN14697,SAMEA120052204,RCN14697_WGS,ERX15023605,ERR15626534
RCN14708,SAMEA120052212,RCN14708_WGS,ERX15023613,ERR15626542
RCN14715,SAMEA120052217,RCN14715_WGS,ERX15023618,ERR15626547
RCN14724,SAMEA120052225,RCN14724_WGS,ERX15023626,ERR15626555
RCN14700,SAMEA120052207,RCN14700_WGS,ERX15023608,ERR15626537
RCN14727,SAMEA120052227,RCN14727_WGS,ERX15023628,ERR15626557
RCN14730,SAMEA120052230,RCN14730_WGS,ERX15023631,ERR15626560
RCN14732,SAMEA120052232,RCN14732_WGS,ERX15023633,ERR15626562
RCN14748,SAMEA120052240,RCN14748_WGS,ERX15023641,ERR15626570
RCN14673,SAMEA120052187,RCN14673_WGS,ERX15023588,ERR15626517
RCN14691,SAMEA120052200,RCN14691_WGS,ERX15023600,ERR15626529
